feature_id,name,source_path_commit,inputs,outputs,side_effects,data_dependencies,numeric_tolerance,golden_fixture,rust_target,test_reference,approved_difference,status,requirement_ids,next_owner
alias,Aliasnormalisierung,rust/crates/dbrain-normalize/src/util.rs@c00fc8935048bf490c1e4790f7c6195864ad49e2,UTF-8 text,normalized alias,none,synthetic fixture S05-ALIAS-20260924-v1,exact UTF-8,probes/alias_cases.rs,dbrain-normalize::normalize_alias,probes/run.rs,none,11_of_18_equal_7_unapproved_differences,R10;R28;R34;R58,00;02;03;05
entities,Entity-Aufloesung und Klassifikation,rust/crates/dbrain-normalize/src/entities.rs@c00fc893,raw snapshots,entities and aliases,S01 reports DB writes; not executed,approved source snapshots and ID mappings,exact IDs and decisions proposed,pending,dbrain-normalize,pending,none,source_located_not_accepted,R10;R28;R34;R36,01;02;03;05
builds,Build-Erstellung und Publisher-Payload,rust/crates/dbrain-builds/src/engine.rs@c00fc893,hero item patch catalog,build candidate and payload,S01 reports optional publish; not executed,catalog and patch release,exact discrete fields; float tolerance pending,existing tests/fixtures not executed,dbrain-builds and dbrain-reasoner,pending,none,source_located_not_accepted,R10;R31;R37;R58,05;08;09;10
optimizer,Build-Optimierung,rust/crates/dbrain-learn/src/build_optimizer.rs@c00fc893,build evidence,optimized candidates,S01 reports artifact or DB writes; not executed,versioned learning data and budget,small exact reference required,pending,dbrain-learn,pending,none,source_located_not_accepted,R10;R31;R36,05;03;10
learning,Regelmaessiger Build-Lernzyklus,rust/crates/dbrain-learn/src/build_learning.rs@c00fc893,builds and matches,learning notes and artifacts,S01 reports provider and DB writes; not executed,source permissions and artifact versions,semantic invariants and fixed seeds pending,pending,dbrain-learn,pending including full update cycle,none,source_located_not_accepted,R03;R10;R52;R53,05;03;07;10
player_learning,Player- und Demo-Learning,rust/crates/dbrain-learn/src/player_decision_learning.rs;rust/crates/dbrain-learn/src/match_demo_learning.rs@c00fc893,match and demo evidence,player decision artifacts,not audited end to end,observations and versioned artifacts,temporal and match separation exact,pending,dbrain-learn,pending,none,source_located_not_accepted,R10;R43;R52;R53,05;13;14;10
coaching,Match-Coaching,rust/crates/dbrain-learn/src/match_coaching.rs@c00fc893,match evidence,coaching context and analysis,S01 reports provider and DB writes; not executed,independently validated events and rubric,no model-text equality as sole oracle,pending,dbrain-learn,pending,none,source_located_not_accepted,R10;R36;R52;R53,05;07;14;10
meta,Meta-Reasoning,rust/crates/dbrain-reasoner/src/meta.rs@c00fc893,population and patch data,meta evidence,not executed,cohort and patch release,counts exact; ranking tolerance pending,pending,dbrain-reasoner,pending,none,source_located_not_accepted,R10;R32;R43;R52,05;13;14
analytics,Population-Analytics,rust/crates/dbrain-population/src/aggregate.rs@c00fc893,match population,aggregates and priors,S01 reports DB/index writes; not executed,deduplicated cohort and missingness,counts and holdout membership exact,testdata exists but not executed,dbrain-population,pending,none,source_located_owner_overlap_open,R10;R43;R52;R53,00;05;14
lineage,Lineage und historische Entities,rust/crates/dbrain-normalize/src/lineage.rs;rust/crates/dbrain-normalize/src/legacy.rs@c00fc893,source revisions,entity lineage and legacy links,S01 reports DB writes; not executed,raw revision and patch history,exact IDs edges and revisions,pending,dbrain-normalize,pending,none,source_located_not_accepted,R10;R28;R32;R47,05;03
patches,Patch-Parsing und Faktenanreicherung,rust/crates/dbrain-normalize/src/patch.rs;rust/crates/dbrain-enrich/src/lib.rs@c00fc893,patch text and events,structured changes and context,not executed,source and parser revision,exact type unit and Unknown handling,pending,dbrain-normalize and dbrain-enrich,pending,none,source_located_not_accepted,R10;R29;R32;R36;R47,05;04;12;13
mechanics,Fact-Effect-Rule-Verarbeitung und sicherer Ausdrucksevaluator,rust/crates/dbrain-reasoner/src/mechanics.rs@c00fc893,shared Fact Effect Rule contract,typed calculated evidence,not audited,new shared contract not integrated,unit checking and Unknown exact; f64 tolerance proposed,pending,reuse existing reasoner; final contract owned by 02,pending bounded AST and expression tests,none,contract_blocked_not_claimed_implemented,R29;R36;R37,02;03;05
synergy,Mechanikgraph und Synergieableitung,rust/crates/dbrain-reasoner/src/ability_interactions.rs;rust/crates/dbrain-reasoner/src/item_interactions.rs@c00fc893,validated facts rules and separate observations,versioned synergy evidence,not audited,shared fact and provenance ports,exact edge IDs input refs and evidence kind,pending,reuse existing reasoner; no parallel graph engine,pending,none,contract_blocked_not_claimed_implemented,R29;R30;R43;R52,02;03;05;06;12
planner,Deterministischer legaler Build-Planner,rust/crates/dbrain-reasoner/src/planner.rs;rust/crates/dbrain-reasoner/src/inventory.rs@c00fc893,hero items rules economy population,purchase plan,planner source partly read; execution not tested,versioned rules and release,legal transitions and budgets exact; score tolerance proposed,pending exhaustive small references,dbrain-reasoner,pending exact optimality and bounded abort reference,none,source_partly_reviewed_not_accepted,R29;R31;R32;R36;R37,02;03;05;10
hero_card_input,Facts Rules und Synergien fuer Hero-Karten,shared card input contract not integrated,versioned domain evidence,inputs for owner 12 projection,not implemented,shared contract and knowledge release,exact references and locale separation,pending,existing domain modules; no alternative card engine,pending,none,contract_blocked,R28;R30;R33;R34,02;03;05;12
population_integration,Empirische Beobachtungen und zeitliche Holdouts,rust/crates/dbrain-reasoner/src/population_prior.rs;rust/crates/dbrain-reasoner/src/families/holdout.rs@c00fc893,Observation and PopulationSlice,empirical priors distinct from mechanics,not executed,owner 13/14 verified data and available-at cutoff,exact deduplication and temporal eligibility,pending,dbrain-reasoner and dbrain-population,pending real temporal holdouts,none,source_located_contract_and_data_blocked,R32;R43;R52;R53,02;03;05;10;13;14
