id,requirements,scenario,negative_control,expected_result,phase,owner,execution_status,result
S08-T01,R02;R14;R21;R37,"Öffentliche exakte Factantwort","Antwortprovider zählt jeden Aufruf; Einheit entfernen","12 Sekunden mit Quelle und Version; null Modellaufrufe; ohne Einheit kein Erfolg",G1_mock,08,blocked_G1,not_run
S08-T02,R06;R16,"Interne exakte Antwort für berechtigten Principal","Dieselbe Anfrage als öffentlicher Principal","Nur berechtigte Sicht; kein interner Inhalt oder Existenzhinweis für Unberechtigte",G1_mock,08;02,blocked_G1,not_run
S08-T03,R06,"Identität aus geprüften Credentials","Adminrolle oder Principal im Request fälschen; ungültige Credentials","Keine Rechte aus Requestfeldern; kein geschützter Portaufruf",G1_mock,08;02,blocked_G1,not_run
S08-T04,R06,"Angeforderte Scopes serverseitig begrenzen","Unzulässigen privaten Scope oder größere Clientlimits anfordern","Gemeinsame Ablehnungsregel; nie zusätzliche Quellen oder Limits",G1_mock,08;02,blocked_G1,not_run
S08-T05,R06;R16,"Conversation autorisieren und revisionieren","Fremde Conversation-ID oder veraltete Gesprächsrevision verwenden","Kein Gesprächsleck; geänderter Kontext darf alten Cache nicht erben",G1_mock,08;02,blocked_G1,not_run
S08-T06,R06;R14,"Egress für alle Providerinputs prüfen","Lesbare aber nicht exportierbare Evidenz oder Conversation in Jev und Antwortinput einschleusen","Kein unerlaubter Netzwerkaufruf; kein stiller Ersatzprovider",G1_mock,08;02;07,blocked_G1,not_run
S08-T07,R06;R08;R40,"Warmer Cache unter aktuellen Sperren","Quelle nach Cachebefüllung löschen oder Rechte entziehen","Keine verbotene Ausgabe trotz TTL und historischem Release",G1_mock,08;02;03,blocked_G1,not_run
S08-T08,R06;R21;R32,"Cacheidentität vollständig trennen","Principal; Tenant; ACL; Egress; Policy; Release; Profil; Locale; Conversationrevision einzeln variieren","Jede ergebnisrelevante oder sicherheitsrelevante Änderung trennt den Eintrag",G1_mock,08;02,blocked_G1,not_run
S08-T09,R02;R21,"Exakter Cachehit","Warmen Eintrag mit geänderter Quellrevision anbieten","Gültiger Hit ohne neue Generierung; ungültige Revision wird nicht ausgeliefert",G1_mock,08;03,blocked_G1,not_run
S08-T10,R14;R21,"Identische berechtigte Arbeit zusammenfassen","Mehrere Anfragen an deterministischer Barriere gleichzeitig starten","Eine teure Arbeit; getrennte Trace-IDs und Finalkontrolle je Wartendem",G1_mock,08,blocked_G1,not_run
S08-T11,R06,"Singleflight nach Berechtigungen isolieren","Gleiche Frage aber andere Objekt-ACL oder Conversation","Keine gemeinsame geschützte Antwort allein wegen gleichen Fragetexts",G1_mock,08;02,blocked_G1,not_run
S08-T12,R14;R21,"Einen Singleflight-Wartenden abbrechen","Ersten Client vor Abschluss trennen","Kein Output für abgebrochenen Client; übrige berechtigte Wartende bleiben korrekt",G1_mock,08;07,blocked_G1,not_run
S08-T13,R14;R21,"Alle Wartenden abbrechen","Alle Clients während Providerarbeit trennen","Vereinbarter best-effort Abbruch; Restarbeit und unbekannte Kosten ehrlich ausgewiesen",G1_mock,08;07,blocked_G1,not_run
S08-T14,R06;R40,"Berechtigung unmittelbar vor Ausgabe prüfen","Quelle oder Conversation an Finalbarriere sperren","Keine geschützten Antwortbytes; Sperre gilt auch bei gepinntem Release",G1_mock,08;02;03,blocked_G1,not_run
S08-T15,R08;R32;R37,"Factantwort mit Einheit und Gültigkeit","Provenienz; Einheit; Datasetrevision oder Patchzuordnung entfernen","Keine belegte aktuelle Zahl aus unvollständigem Fact",G1_mock,08;03;05,blocked_G1,not_run
S08-T16,R02;R36,"Leeres Evidence Pack","Modellport wäre verfügbar aber kein Beleg vorhanden","Unzureichende Evidenz; keine erfundene Antwort; null Generierungsaufrufe",G1_mock,08,blocked_G1,not_run
S08-T17,R08;R32,"Veraltete Evidenz","Nur abgelaufene Quelle für aktuelle Frage liefern","Expliziter Freshnessstatus; kein stilles aktuell-Label",G1_mock,08;03,blocked_G1,not_run
S08-T18,R35;R36;R43,"Widersprüchliche Pflichtfakten","Zwei Kopien derselben Ursprungsquelle gegen widersprechende Quelle zählen","Konflikt sichtbar; keine Mehrheit aus korrelierten Kopien; kein erfundener Build",G1_mock,08;05;06,blocked_G1,not_run
S08-T19,R28;R36,"Unbekannter Hero oder Stat","Nicht existierende synthetische Entity; fehlenden Wert anbieten","Unbekannt bleibt unbekannt; keine Heroerfindung und kein Ersatz durch null",G1_mock,08;05,blocked_G1,not_run
S08-T20,R31;R36,"Fehlende notwendige Buildregel","Hard Constraint oder Mode-Regel aus Plannergrundlage entfernen","Keine behauptete Legalität und keine vom Modell erfundene Regel",G1_mock,08;05,blocked_G1,not_run
S08-T21,R31;R37,"Validierten Build erklären","Modell ergänzt Item oder verändert Zahl beziehungsweise Kaufreihenfolge","Nur unverändertes validiertes Ergebnis; verfälschte Erklärung wird abgewiesen",G1_mock,08;05;07,blocked_G1,not_run
S08-T22,R08;R37,"Citationposition und UTF-8 prüfen","Locator außerhalb des Chunks oder in der Mitte eines Mehrbytezeichens","Ungültige Position abweisen; gemeinsame Locatorsemantik einhalten",G1_mock,08;02,blocked_G1,not_run
S08-T23,R06;R37,"Citation-ID auf Evidence Pack begrenzen","Erfundene oder fremde gültige aber nicht gelieferte Evidence-ID nennen","Keine Ausgabe als belegte Antwort; keine fremde Quelle nachladen",G1_mock,08,blocked_G1,not_run
S08-T24,R08;R32;R37,"Citationrevisionen prüfen","Document-; Chunk-; Source- oder Releaserevision austauschen","Versionsfremdes Zitat verhindert Erfolg",G1_mock,08;03,blocked_G1,not_run
S08-T25,R31;R37,"Semantischen Support getrennt prüfen","Gültige Citation mit falscher Zahl; Negation; Einheit; Bedingung oder Mode kombinieren","Strukturgültigkeit reicht nicht; ungestützte Aussage wird nicht freigegeben",G1_mock,08;05;10,blocked_G1,not_run
S08-T26,R32;R40,"Current einmal pro Request auflösen","Releasezeiger nach erster Auflösung umschalten","Laufender Request bleibt konsistent; nächster Request löst neuen Release auf",G1_mock,08;03,blocked_G1,not_run
S08-T27,R32;R35;R40,"Zusammenpassende Teilgenerationen verlangen","Index; Facts; Karten oder Rules aus anderem Release einspeisen","Kein gemischter Erfolg; nur ausdrücklich freigegebene konsistente Alternative",G1_mock,08;03;06,blocked_G1,not_run
S08-T28,R06;R12;R14,"Jev bleibt innerhalb erlaubter Grenzen","Jev schlägt privaten Scope; fremde Evidence-ID oder anderen Provider vor","Vorschlag verworfen; kein Rechte- oder Budgetgewinn",G1_mock,08;07,blocked_G1,not_run
S08-T29,R12;R20,"Jev aus oder Shadow und sicherer Ausfall","Timeout; Fehler oder invalides Jevresultat erzeugen","Nur freigegebene Baseline; keine ungeprüfte Aktivierung und kein Erfolgszwang",G1_mock,08;07;10,blocked_G1,not_run
S08-T30,R06;R14,"Zweiten Retrievalpass begrenzen","Nach zwei erfolglosen Pässen weitere Evidenzanforderung auslösen","Höchstens zwei Pässe; identische Rechte und Release; gemeinsames Gesamtbudget",G1_mock,08;06,blocked_G1,not_run
