source_id,name,actual_location,evidence_commit_or_snapshot,owner,source_of_truth,data_class,schema_version,record_count,bytes,visibility,acl_reference,egress_policy,change_feed,deletion_signal,snapshot_method,watermark,target,migration_decision,verification_method,status
brain_repo,Deadlock Brain Code,/home/naniadm/Documents/Deadlock-Brain,2734c2da4e81,Deadlock Brain,yes,code_config,git,unknown,unknown,private_repo,repo_access,code_only,git,git_delete,git_commit,2734c2da4e81,active_repo,reuse,git_and_path,verified
brain_data,Deadlock Brain Daten,/home/naniadm/Documents/Deadlock-Brain/data,filesystem_observed_2026-09-24,Deadlock Brain,mixed,raw_learning_cache_assets,heterogeneous,unknown,1813651236,private_host,host_acl,not_verified,mixed,not_verified,filesystem_snapshot,unknown,canonical_store_and_object_store,inventory_then_migrate,du_and_directory_inventory,verified_partial
brain_game_wiki,Game Wiki Snapshot,/home/naniadm/Documents/Deadlock-Brain/game-wiki,filesystem_observed_2026-09-24,Deadlock Brain,derived,curated_wiki_snapshot,markdown,unknown,unknown,private_repo,repo_access,not_verified,git_or_ingest,git_delete,git_commit,unknown,knowledge_source,reuse_with_revisioning,path_inventory,verified_partial
deadlock_docs,Deadlock Docs,/home/naniadm/Documents/Deadlock-Docs,98bf75aa6902,Deadlock Docs,yes,curated_docs_and_evals,git,unknown,unknown,mixed_public_internal,repo_and_path_policy,not_verified,git,git_delete,git_commit,98bf75aa6902,document_store,reuse_with_acl_split,git_and_rg,verified_partial
second_brain,Deadlock 2nd Brain,/home/naniadm/Documents/Deadlock-2nd-Brain,0171da453592,Deadlock 2nd Brain,yes,internal_knowledge,git,unknown,unknown,internal,repo_access,not_verified,git,git_delete,git_commit,0171da453592,internal_document_store,reuse_with_acl,git_head_only,verified_partial
twitch_consumer,Deadlock Twitch Bot,/home/naniadm/Documents/Deadlock-Twitch-Bot,1442640c3ea4,Deadlock Twitch Bot,consumer,code_and_runtime_contracts,git,unknown,unknown,private_repo,repo_access,not_applicable,git,git_delete,git_commit,1442640c3ea4,consumer_adapter,port_contracts,git_and_rg,verified
discord_consumer,Deadlock Bots,/home/naniadm/Documents/Deadlock-Bots,ff635f7b354c,Deadlock Bots,consumer_and_store,code_db_knowledge,git_and_postgres_schema,unknown,unknown,private_repo,repo_access,not_verified,git_and_runtime,db_delete_and_git_delete,git_commit_and_db_backup,ff635f7b354c,consumer_adapter_and_store,reconcile_then_port,git_and_rg,verified_partial
build_timer,Brain Build Timer,user systemd deadlock-brain-build-data.timer,runtime_2026-09-24,Deadlock Brain,runtime,job_checkpoint,systemd,1,unknown,host,systemd_user,not_applicable,timer,unit_disable,unit_and_repo_config,next_2026-09-25T03:30+02:00,worker_scheduler,repair_or_replace_after_contracts,systemctl_user_status,verified_failed_service
wiki_http,deadlock.wiki,rust/crates/dbrain-sources/src/wiki.rs,2734c2da4e81,Deadlock Brain,external,wiki_http,mediawiki,unknown,unknown,public,source_policy,not_verified,pull,upstream_revision,raw_snapshot,unknown,source_registry,reuse_adapter_after_policy_check,code_inspection,code_verified_access_not_verified
deadlock_api,Deadlock API,rust/crates/dbrain-sources/src/deadlock_api.rs,2734c2da4e81,Deadlock Brain,external,game_population_demo,api,unknown,unknown,external,source_policy,not_verified,pull,upstream_semantics,raw_snapshot,unknown,source_registry,reuse_adapter_after_schema_pin,code_inspection,code_verified_access_not_verified
deadlock_data,deadlock-wiki deadlock-data,rust/crates/dbrain-sources/src/deadlock_data.rs,2734c2da4e81,Deadlock Brain,external,game_history_git,git,unknown,unknown,public,source_license,not_verified,git,git_history,git_snapshot,unknown,source_registry,reuse_after_license_check,code_inspection,code_verified_access_not_verified
youtube,YouTube Learning,/home/naniadm/Documents/Deadlock-Brain/data/youtube_transcripts,filesystem_observed_2026-09-24,Deadlock Brain,derived,transcripts_audio_claims,heterogeneous,unknown,unknown,private_host,host_acl,not_verified,worker,not_verified,filesystem_snapshot,unknown,raw_object_and_document_store,reconcile_and_migrate,path_inventory,verified_partial
embeddings_search,Existing Search Projections,rust/crates/dbrain-retrieval,2734c2da4e81,Deadlock Brain,derived,retrieval_projection,rust,unknown,unknown,private_repo,repo_access,not_applicable,rebuild,source_delete,rebuild,unknown,search_projection,rebuild_unless_compatibility_proven,code_inspection,verified_partial
secrets,Credentials and Tokens,Infisical and service injection,policy_observed_2026-09-24,Operations,yes,secrets,secret_manager,not_recorded,not_recorded,restricted,secret_policy,denied_from_corpus,rotation,rotation,secret_manager,not_applicable,secret_manager,do_not_migrate_as_content,policy_check,classified
