id,component,observed_state,observation_scope,scheduled_or_write_risk,required_evidence_before_change,owner,next_action,shutdown_authorized
OPS-01,deadlock-brain-build-data.service,failed_exit_1,user_systemd_live_2026-09-24,build-data_and_population_writer,released_binary_hash_and_successful_full_cycle,04/05/11,resolve_failed_job_then_rehearse_fencing,false
OPS-02,deadlock-brain-build-data.timer,enabled_active_waiting,user_systemd_live_2026-09-24,daily_old_writer_restart,confirmed_schedule_inventory_and_store_fencing,04/11,include_in_G5_drain_and_schedule_transition,false
OPS-03,deadlock-brain-patchnotes-sync.service,inactive_last_result_success,user_systemd_live_2026-09-24,patch_delta_writer,watermark_delete_and_idempotency_proof,04/13/11,reconcile_last_accepted_offset,false
OPS-04,deadlock-brain-patchnotes-sync.timer,enabled_active_waiting,user_systemd_live_2026-09-24,periodic_old_writer_restart,confirmed_schedule_inventory_and_store_fencing,04/11,include_in_G5_drain_and_schedule_transition,false
OPS-05,deadlock-brain-sheet-sync.service,inactive_last_result_success,user_systemd_live_2026-09-24,external_sheet_writer,source_rights_secret_wrapper_and_watermark_proof,04/13/11,verify_deployed_wrapper_not_only_main,false
OPS-06,deadlock-brain-sheet-sync.timer,enabled_active_waiting,user_systemd_live_2026-09-24,periodic_old_writer_restart,confirmed_schedule_inventory_and_store_fencing,04/11,include_in_G5_drain_and_schedule_transition,false
OPS-07,deadlock-brain-wiki-refresh.service,inactive_last_result_success,user_systemd_live_2026-09-24,wiki_import_and_publication,source_policy_card_index_generation_and_export_proof,04/12/09/11,include_wiki_and_publication_offsets,false
OPS-08,deadlock-brain-wiki-refresh.timer,enabled_active_waiting,user_systemd_live_2026-09-24,periodic_old_writer_restart,confirmed_schedule_inventory_and_store_fencing,04/11,include_in_G5_drain_and_schedule_transition,false
OPS-09,deadlock-brain-youtube-learning.service,failed_exit_1,user_systemd_live_2026-09-24,learning_writer_from_separate_live_worktree,actual_release_hash_wrapper_dependencies_and_complete_cycle,04/05/09/11,resolve_failed_job_without_replacing_live_with_unproven_main,false
OPS-10,deadlock-brain-youtube-learning.timer,enabled_active_waiting,user_systemd_live_2026-09-24,periodic_old_writer_restart,confirmed_schedule_inventory_and_store_fencing,04/11,include_in_G5_drain_and_schedule_transition,false
OPS-11,deadlock-brain-site.service,enabled_active_running,user_systemd_live_2026-09-24,build_export_consumer_and_site,consumer_inventory_export_approval_and_kernel_parity,09/11,verify_read_and_publication_paths_before_canary,false
OPS-12,dl-knowledge.service,enabled_active_running,user_systemd_live_2026-09-24,separate_retrieval_consumer,no_direct_model_or_legacy_dependency_and_scope_tests,06/08/09/11,verify_kernel_integration_not_just_process_health,false
OPS-13,system_units_cron_other_hosts_and_manual_jobs,not_verified,not_covered_by_user_systemd_tool,unlisted_writer_and_restart_paths,complete_S01_inventory,01/04/11,complete_inventory_before_G4,false
OPS-14,shared_provider_and_infisical_keys,not_inspected,secret_values_not_read,shared_consumers_and_rollback_access,key_ownership_rotation_and_retention_approval,00/07/09/11,record_references_only_never_revoke_shared_keys_blindly,false
OPS-15,legacy_repositories_raw_data_and_backups,not_modified,no_archival_or_deletion_attempt,irreversible_loss,separate_explicit_archive_or_delete_authorization,00/11,retain_until_separate_authorization,false
OPS-16,service_resource_budgets,all_7_services_report_infinity_for_memory_cpu_tasks,user_systemd_live_2026-09-24,limits_may_still_exist_in_parent_slices,measured_S10_budget_and_effective_cgroup_limits,10/11,do_not_invent_or_activate_limits_without_load_tests,false
