logical_area,real_path,owner_chat,allowed_work,base_commit,contract_version,approval_status
coordination,architecture/migration/**,00,S000_and_integration,d6cf9bc6fab7579cdee6781c7e59a7738807852a,,active
brain_contracts,rust/crates/brain-contracts/**;rust/crates/brain-policy/**;rust/Cargo.toml;rust/Cargo.lock,02,integrated_C4_changes_via_PR_to_migration/rust-integration,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.v1;brain.public.v1;brain.ir.v1;brain.domain.v2;brain.store.v2;brain.feed.patchnotes.v1;brain.build_publish.v1,active_integrated
brain_storage_and_schema,rust/crates/brain-storage/**;scripts/migrations/**,03,integrated_C11_schema_only_via_brain-migrate,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.store.v2 (core schema v2),active_integrated
brain_postgres_instance,ops/brain-postgres/**;scripts/run_isolated_*.sh;scripts/sample_brain_pg.sh,03/11,staging_only_no_cutover,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.store.v2,active_staging
ingestion_and_legacy_import,rust/crates/brain-ingestion/**;rust/crates/brain-legacy-import/**,03/04,pilot_databases_only_brain_pilot*,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.store.v2;brain_legacy.archive.v1,active_pilot
feeds_and_provider_boundaries,rust/crates/brain-feeds/**,04/13,brain_side_contracts_fixture_transport_only,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.feed.patchnotes.v1;brain.build_publish.v1,active_provider_sides_missing
answer_kernel_and_api,rust/crates/brain-kernel/**;rust/crates/brain-api/**,08,integrated_C1,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.v1;brain.public.v1,active_integrated
brain_serve,rust/crates/brain-serve/**,08,staging_only,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.public.v1,active_staging
retrieval,rust/crates/dbrain-retrieval/**,06,integrated_C2_C3_and_pool_PR49,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.store.v2,active_integrated
provider_and_jev,rust/crates/brain-providers/**;rust/crates/brain-jev/**,07,loopback_fixture_only_no_model_selection,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.v1,blocked_operator_provider_decision
domain_rules_builds,rust/crates/dbrain-builds/**;rust/crates/dbrain-reasoner/**;rust/crates/dbrain-learn/**;rust/crates/dbrain-population/**;rust/crates/dbrain-enrich/**;rust/crates/dbrain-normalize/**,05,integrated_C6_legacy_publish_path_unchanged,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.domain.v2,active_integrated
dbrain_wiki,rust/crates/dbrain-wiki/**;rust/crates/dbrain-sources/src/wiki*,12,adapter_into_normal_store_real_capture_blocked,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.ir.v1,blocked_operator_rights_decision
external_sources,rust/crates/dbrain-sources/**,13,adapters_integrated_legacy_writers_still_DL-Main,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.ir.v1,active_integrated
replay,rust/crates/dbrain-replay/**,14,decoder_offline_only,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.ir.v1,blocked_operator_replay_decision
consumer,rust/crates/brain-client/**;rust/crates/deadlock-brain/**;Deadlock-Twitch-Bot#984;Deadlock-Bots#459;Deadlock-Docs#4;Deadlock-2nd-Brain#2,09,integrated_C9_consumer_PRs_open_not_activated,d6cf9bc6fab7579cdee6781c7e59a7738807852a,brain.public.v1,active_prs_open
legacy_runtime,rust/crates/deadlock-brain-core/**;rust/crates/deadlock-brain-yt/**;src/deadlock_brain/**,11,unchanged_until_G5,d6cf9bc6fab7579cdee6781c7e59a7738807852a,,legacy_active_in_production
quality_and_performance,architecture/migration/evals/**;architecture/migration/benchmarks/**,10,local_evidence_only,d6cf9bc6fab7579cdee6781c7e59a7738807852a,,active
runtime_and_cutover,ops/brain-postgres/**;architecture/migration/PRE_G5_TECHNICAL_REVIEW.md,11,no_cutover_before_G5_operator_approval,d6cf9bc6fab7579cdee6781c7e59a7738807852a,,blocked_G5
