requirement_id,owner_chat,status,evidence_reference
R01,"00,11",offen,
R02,"08,09",offen,
R03,"02-11",offen,
R04,"00,11",offen,
R05,"01,03,04",offen,
R06,"02,03,10",offen,
R07,"01,03,11",offen,
R08,"03,04",offen,
R09,"03,04",offen,
R10,"01,05",offen,
R11,"06",offen,
R12,"07,08",offen,
R13,"04,07",offen,
R14,"07,08",offen,
R15,"09",offen,
R16,"08,09",offen,
R17,"03,04,06",offen,
R18,"03,04,11",offen,
R19,"01,10",offen,
R20,"07,08,10",offen,
R21,"02,08,10",offen,
R22,"03,10,11",offen,
R23,"00,all",offen,
R24,"01,all",offen,
R25,"00",offen,
R26,"01,12,10",offen,
R27,"12,04",offen,
R28,"02,03,05,12",offen,
R29,"02,03,05,12",offen,
R30,"05,06,12",offen,
R31,"05,08,10",offen,
R32,"02,03,05,12,13",offen,
R33,"12,05,08",offen,
R34,"03,05,12",offen,
R35,"06,08",offen,
R36,"05,08,10,12",offen,
R37,"05,08,10",offen,
R38,"04,06,12,13",offen,
R39,"00,01,12,13",offen,
R40,"03,04,08,11",offen,
R41,"01,03,12",offen,
R42,"02,03,13",offen,
R43,"03,05,13,14",offen,
R44,"01,13",offen,
R45,"02,13,10",offen,
R46,"03,13",offen,
R47,"05,12,13",offen,
R48,"13,14",offen,
R49,"14,03,04",offen,
R50,"14,10",offen,
R51,"03,14",offen,
R52,"05,13,14",offen,
R53,"05,10,14",offen,
R54,"01,13,14",offen,
R55,"00,01,02,13",offen,
R56,"01,08,09,11",offen,
R57,"01,09,10",offen,
R58,"01,02,05",offen,
R59,"04,10,14",offen,
R60,"00,all",offen,
