feature_id,name,source_path_commit,inputs,outputs,side_effects,data_dependencies,numeric_tolerance,golden_fixture,rust_target,test_reference,approved_difference,status
entities,Entity Normalisierung,rust/crates/dbrain-normalize/src/entities.rs@2734c2d,raw sources,normalized entities,db writes,source documents,not inventoried,not inventoried,dbrain-normalize,module tests,none,implemented
builds,Build Erstellung,rust/crates/dbrain-builds and rust/crates/dbrain-reasoner@2734c2d,hero item patch data,build plan and publish payload,publish optional,catalog population patch,not inventoried,rust/crates/dbrain-builds/tests/fixtures,dbrain-builds and dbrain-reasoner,crate tests,none,implemented
learning,Build and Player Learning,rust/crates/dbrain-learn@2734c2d,matches builds demos,learning artifacts and decision notes,db writes and provider calls,raw evidence and postgres,not inventoried,not inventoried,dbrain-learn,crate tests,none,implemented_partial
optimizer,Build Optimizer,rust/crates/dbrain-learn/src/build_optimizer.rs@2734c2d,build evidence,optimized candidates,db or artifact writes,build learning data,not inventoried,not inventoried,dbrain-learn,crate tests,none,implemented
coaching,Match Coaching,rust/crates/dbrain-learn/src/match_coaching.rs@2734c2d,match evidence,coaching analysis,provider and db writes,match and demo evidence,not inventoried,not inventoried,dbrain-learn,crate tests,none,implemented
meta,Meta Reasoning,rust/crates/dbrain-reasoner/src/meta.rs@2734c2d,population and patch data,meta evidence,none,population catalog,not inventoried,not inventoried,dbrain-reasoner,crate tests,none,implemented
analytics,Population Analytics,rust/crates/dbrain-population@2734c2d,match population data,aggregates and priors,db and index writes,deadlock api population,not inventoried,testdata samples,dbrain-population,crate tests,none,implemented
lineage,Lineage,rust/crates/dbrain-normalize/src/lineage.rs@2734c2d,source revisions,lineage records,db writes,raw snapshots,not applicable,not inventoried,dbrain-normalize,crate tests,none,implemented
retrieval,Retrieval,rust/crates/dbrain-retrieval@2734c2d,query and indexed knowledge,evidence context,read side effects only,game wiki and indexes,quality eval pending,examples present,dbrain-retrieval,examples and crate tests,none,implemented_partial
patches,Patch Parsing and Evidence,rust/crates/dbrain-normalize/src/patch.rs and deadlock-brain patch adapters@2734c2d,patchnotes and source docs,patch events and evidence,db writes,patchnotes db and source docs,not inventoried,not inventoried,dbrain-normalize and deadlock-brain,crate tests and workflow,none,implemented
wiki,Wiki Pull,rust/crates/dbrain-sources/src/wiki.rs@2734c2d,wiki title and network,response snapshot and entity,cache and db writes,deadlock.wiki,not applicable,module tests,dbrain-sources,unit tests,policy review pending,implemented_partial
youtube,YouTube Claims,rust/crates/deadlock-brain-yt@2734c2d,feeds audio transcripts,claims and queue states,filesystem db and provider calls,youtube config and local data,not inventoried,testutil present,deadlock-brain-yt,crate tests,none,implemented_partial
discord_brain,Discord Brain Consumer,Deadlock-Bots docs/specs/2026-06-29-brain-command-design.md@ff635f7b354c,user question,discord answer,subprocess and cooldowns,Brain CLI and knowledge,not inventoried,not inventoried,consumer,Deadlock-Bots tests,contract migration pending,implemented
discord_knowledge,Discord dl knowledge,Deadlock-Bots rust/bin/dl-knowledge@ff635f7b354c,user question,grounded answer,retrieval logs and postgres,public snapshot and knowledge schema,not inventoried,224 case suite documented,consumer,Deadlock-Bots evals,consolidation decision pending,implemented
twitch_brain,Twitch Brain Dependency,Deadlock-Twitch-Bot rust/Cargo.lock@1442640c3ea4,build lab inputs,Brain library results,consumer runtime,git pinned Brain crates,not inventoried,not inventoried,consumer,Twitch tests,contract migration pending,implemented_partial
