test_id,requirements,scenario,expected_result,needed_owners,prerequisites,status
S03-T01,R06|R08|R42,Gleicher Inhalt in zwei Quellen mit unterschiedlichen Rechten,Getrennte logische Identitäten und keine Sichtbarkeitserweiterung,02|03|04,G1 und freigegebene isolierte Fixtures,not_run
S03-T02,R05|R08|R18,Identischen Snapshot zweimal importieren,Keine neuen fachlichen Duplikate und stabile Zuordnung alter IDs sowie Abgleich statt Versuchszähler,03|04,G1 und freigegebener Pilotsnapshot,not_run
S03-T03,R07|R17|R18,Bestehendes Rohobjekt fehlt oder ist abgeschnitten beziehungsweise falsch gehasht,Verify schlägt fehl und Veröffentlichung bleibt gesperrt statt Dateiexistenz als Integrität zu werten,03|04,G1 und isolierter Objektspeicher,not_run
S03-T04,R18,Abbruch nach Rohobjekt vor DB-Commit sowie nach DB-Commit vor Bestätigung und während eines Batches,Wiederanlauf liefert denselben abgeglichenen Bestand ohne verlorene Records oder fachlich doppelte Wirkung,03|04,G1 und isolierte DB plus steuerbare Crashpunkte,not_run
S03-T05,R18,Lease läuft aus und alter Worker schreibt nach neuer Übernahme,Veralteter Fencing-Token wird abgewiesen und neuer Besitzer kann sicher fortsetzen,03|04,G1 und freigegebener Jobvertrag,not_run
S03-T06,R05|R08,Record mit ungültigem Hash oder fehlender Elternreferenz,Expliziter Abgleichfehler oder Quarantäne ohne erfolgreichen Importstatus,03|04,G1 und isolierte Negativfixtures,not_run
S03-T07,R08|R32|R42,Historische Quelle mit unbekannter Revision oder unbekannter Spielgültigkeit,Belegbarer Snapshot-Hash und getrennte Zeiten bleiben erhalten ohne erfundenen Commit oder aktuellen Patch,02|03|13,G1 und fixierter Source-Vertrag,not_run
S03-T08,R08|R43|R46,Gleiche Rohbytes mit neuer Parserrevision sowie zwei Feeds desselben Ursprungs,Getrennte Ableitungsrevision ohne erfundenen Spielpatch oder doppelte unabhängige Evidenz,03|05|12|13,G1 und Parser- sowie Rootartefaktvertrag,not_run
S03-T09,R05|R18,Quelle ändert sich während Export und Snapshot-Delta-Übergang,Quellspezifischer konsistenter Snapshot und belegter Watermark ohne stillen Verlust oder unbewiesene globale Transaktion,03|04,G1 und freigegebene Snapshot- sowie Changefeedsemantik,not_run
S03-T10,R06|R18,Löschung gefolgt von verspätetem Update und expliziter neuer Wiederanlage,Altes Update bleibt gesperrt und Wiederanlage folgt ausschließlich freigegebener Ordnung und Rechteprüfung,02|03|04,G1 und festgelegte Eventordnung,not_run
S03-T11,R06|R09|R22,ACL-Revoke oder Delete bei altem Release sowie Cache- und Zitatabruf,Keine Ausgabe oder Providerweitergabe entzogener Inhalte und keine Rechteerweiterung generierter Kinder,02|03|04|06|08,G1 plus reale betroffene Leser für Integrationsnachweis,not_run
S03-T12,R17|R40,Release mit fehlender Index- oder Fact-Rule-Karten-Observationgeneration sowie konkurrierendem Publish,Unvollständiger Release bleibt unsichtbar und nur ein kompatibler aktiver Zeiger wird atomar gewechselt,03|04|06|08,G1 und fixierter Knowledge-Release-Vertrag,not_run
S03-T13,R05|R41|R42,Counts stimmen trotz falscher Zuordnung oder ungeklärter Quarantäne,Verify prüft Hashes IDs Beziehungen Zeiten Scope und jeden Zielentscheid statt bloßer Zählgleichheit,03|10,G1 und freigegebener Pilotsnapshot,not_run
S03-T14,R03|R17|R22,Restore in leeres Ziel und Rollback nach neuen Writes sowie neuen Rechtesperren,Rebuild ohne Python und ohne Writeverlust bei weiter wirksamen aktuellen Sperren,03|10|11,G1 für isolierten Rebuild und G2 vor gemeinsamer Cutoverprobe,not_run
S03-T15,R28|R29|R32|R34|R40|R41,Wiki- und Git-Historie mit Facts Effects Rules Aliasen Sprachtexten und erzeugten Karten,Alle freigegebenen Datenklassen behalten Herkunft Gültigkeit und Referenzen im selben Knowledge-Release,03|05|12|13,G1 und freigegebene Pilotinputs der Besitzer,not_run
S03-T16,R43|R49|R51,Replay-Neuparsen sowie doppelte Matches und Rohobjekt mit gesperrten Rechten,Versionierte Observations und deduplizierte Population ohne unerlaubten Export oder pauschale Tickkopie nach Git,03|04|05|14,G1 und freigegebene Replayfixtures sowie Budgetvertrag,not_run
